,Change,Delta
0,유지,
1,유지,
2,유지,
3,유지,
4,상승,2
5,상승,2
6,상승,2
7,하락,3
8,상승,3
9,상승,4
10,상승,2
11,하락,6
12,상승,2
13,상승,6
14,상승,9
15,하락,5
16,상승,3
17,하락,9
18,하락,3
19,신규,NEW
20,상승,1
21,하락,1
22,하락,6
23,상승,1
24,상승,6
25,상승,3
26,상승,12
27,상승,4
28,신규,NEW
29,상승,13
30,상승,20
31,상승,13
32,유지,
33,하락,19
34,하락,11
35,상승,13
36,상승,9
37,상승,3
38,상승,9
39,하락,5
40,상승,27
41,상승,11
42,상승,1
43,하락,8
44,하락,18
45,신규,NEW
46,상승,10
47,하락,1
48,상승,17
49,상승,12
50,상승,12
51,하락,22
52,상승,17
53,신규,NEW
54,신규,NEW
55,상승,23
56,상승,33
57,신규,NEW
58,상승,5
59,상승,21
60,신규,NEW
61,신규,NEW
62,하락,12
63,상승,6
64,상승,15
65,신규,NEW
66,상승,12
67,상승,14
68,상승,16
69,상승,3
70,상승,13
71,상승,19
72,신규,NEW
73,상승,21
74,신규,NEW
75,신규,NEW
76,하락,12
77,신규,NEW
78,신규,NEW
79,신규,NEW
80,상승,11
81,상승,5
82,하락,57
83,하락,9
84,신규,NEW
85,상승,11
86,하락,55
87,신규,NEW
88,신규,NEW
89,신규,NEW
90,신규,NEW
91,신규,NEW
92,하락,70
93,신규,NEW
94,신규,NEW
95,신규,NEW
96,신규,NEW
97,신규,NEW
98,신규,NEW
99,신규,NEW
